>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 500  -2  -7 -23   2   2   2
 501  -1  -7 -23   2   2   2
 502   0  -7 -23   2   2   2
 503   1  -7 -23   2   2   2
 504   2  -7 -23   2   2   2
 505   3  -7 -23   2   2   2
 506   4  -7 -23   2   2   2
 507   5  -7 -23   2   2   2
 508   6  -7 -23   2   2   2
 509   7  -7 -23   2   2   2
 510   8  -7 -23   2   2   2
 511   9  -7 -23   2   2   2
 512  10  -7 -23   2   2   2
 513  11  -7 -23   2   2   2
 514  12  -7 -23   2   2   2
 515  13  -7 -23   2   2   2
 516  14  -7 -23   2   2   2
 517  15  -7 -23   2   2   2
 518  16  -7 -23   2   2   2
 519  17  -7 -23   2   2   2
 520  18  -7 -23   2   2   2
 521  19  -7 -23   2   2   2
 522 -20  -6 -23   2   2   2
 523 -19  -6 -23   2   2   2
 524 -18  -6 -23   2   2   2
 525 -17  -6 -23   2   2   2
 526 -16  -6 -23   2   2   2
 527 -15  -6 -23   2   2   2
 528 -14  -6 -23   2   2   2
 529 -13  -6 -23   2   2   2
 530 -12  -6 -23   2   2   2
 531 -11  -6 -23   2   2   2
 532 -10  -6 -23   2   2   2
 533  -9  -6 -23   2   2   2
 534  -8  -6 -23   2   2   2
 535  -7  -6 -23   2   2   2
 536  -6  -6 -23   2   2   2
 537  -5  -6 -23   2   2   2
 538  -4  -6 -23   2   2   2
 539  -3  -6 -23   2   2   2
 540  -2  -6 -23   2   2   2
 541  -1  -6 -23   2   2   2
 542   0  -6 -23   2   2   2
 543   1  -6 -23   2   2   2
 544   2  -6 -23   2   2   2
 545   3  -6 -23   2   2   2
 546   4  -6 -23   2   2   2
 547   5  -6 -23   2   2   2
 548   6  -6 -23   2   2   2
 549   7  -6 -23   2   2   2
 550   8  -6 -23   2   2   2
 551   9  -6 -23   2   2   2
 552  10  -6 -23   2   2   2
 553  11  -6 -23   2   2   2
 554  12  -6 -23   2   2   2
 555  13  -6 -23   2   2   2
 556  14  -6 -23   2   2   2
 557  15  -6 -23   2   2   2
 558  16  -6 -23   2   2   2
 559  17  -6 -23   2   2   2
 560  18  -6 -23   2   2   2
 561  19  -6 -23   2   2   2
 562  20  -6 -23   2   2   2
 563 -21  -5 -23   2   2   2
 564 -20  -5 -23   2   2   2
 565 -19  -5 -23   2   2   2
 566 -18  -5 -23   2   2   2
 567 -17  -5 -23   2   2   2
 568 -16  -5 -23   2   2   2
 569 -15  -5 -23   2   2   2
 570 -14  -5 -23   2   2   2
 571 -13  -5 -23   2   2   2
 572 -12  -5 -23   2   2   2
 573 -11  -5 -23   2   2   2
 574 -10  -5 -23   2   2   2
 575  -9  -5 -23   2   2   2
 576  -8  -5 -23   2   2   2
 577  -7  -5 -23   2   2   2
 578  -6  -5 -23   2   2   2
 579  -5  -5 -23   2   2   2
 580  -4  -5 -23   2   2   2
 581  -3  -5 -23   2   2   2
 582  -2  -5 -23   2   2   2
 583  -1  -5 -23   2   2   2
 584   0  -5 -23   2   2   2
 585   1  -5 -23   2   2   2
 586   2  -5 -23   2   2   2
 587   3  -5 -23   2   2   2
 588   4  -5 -23   2   2   2
 589   5  -5 -23   2   2   2
 590   6  -5 -23   2   2   2
 591   7  -5 -23   2   2   2
 592   8  -5 -23   2   2   2
 593   9  -5 -23   2   2   2
 594  10  -5 -23   2   2   2
 595  11  -5 -23   2   2   2
 596  12  -5 -23   2   2   2
 597  13  -5 -23   2   2   2
 598  14  -5 -23   2   2   2
 599  15  -5 -23   2   2   2
 600  16  -5 -23   2   2   2
 601  17  -5 -23   2   2   2
 602  18  -5 -23   2   2   2
 603  19  -5 -23   2   2   2
 604  20  -5 -23   2   2   2
 605  21  -5 -23   2   2   2
 606 -21  -4 -23   2   2   2
 607 -20  -4 -23   2   2   2
 608 -19  -4 -23   2   2   2
 609 -18  -4 -23   2   2   2
 610 -17  -4 -23   2   2   2
 611 -16  -4 -23   2   2   2
 612 -15  -4 -23   2   2   2
 613 -14  -4 -23   2   2   2
 614 -13  -4 -23   2   2   2
 615 -12  -4 -23   2   2   2
 616 -11  -4 -23   2   2   2
 617 -10  -4 -23   2   2   2
 618  -9  -4 -23   2   2   2
 619  -8  -4 -23   2   2   2
 620  -7  -4 -23   2   2   2
 621  -6  -4 -23   2   2   2
 622  -5  -4 -23   2   2   2
 623  -4  -4 -23   2   2   2
 624  -3  -4 -23   2   2   2
 625  -2  -4 -23   2   2   2
 626  -1  -4 -23   2   2   2
 627   0  -4 -23   2   2   2
 628   1  -4 -23   2   2   2
 629   2  -4 -23   2   2   2
 630   3  -4 -23   2   2   2
 631   4  -4 -23   2   2   2
 632   5  -4 -23   2   2   2
 633   6  -4 -23   2   2   2
 634   7  -4 -23   2   2   2
 635   8  -4 -23   2   2   2
 636   9  -4 -23   2   2   2
 637  10  -4 -23   2   2   2
 638  11  -4 -23   2   2   2
 639  12  -4 -23   2   2   2
 640  13  -4 -23   2   2   2
 641  14  -4 -23   2   2   2
 642  15  -4 -23   2   2   2
 643  16  -4 -23   2   2   2
 644  17  -4 -23   2   2   2
 645  18  -4 -23   2   2   2
 646  19  -4 -23   2   2   2
 647  20  -4 -23   2   2   2
 648  21  -4 -23   2   2   2
 649 -22  -3 -23   2   2   2
 650 -21  -3 -23   2   2   2
 651 -20  -3 -23   2   2   2
